word,subtype,phonetic,phonetic_uk,phonetic_us,conflict_dialects,source_variants,uk_candidate_count,us_candidate_count
some,has_us_only_but_conflict,/ˈsʌm/,,/ˈsʌm/,uk,uk,6,1
them,no_safe_variant,/ˈðɛm/,,,us,us,0,2
which,no_safe_variant,/ˈwɪtʃ/,,,us,us,0,2
when,no_safe_variant,/ˈwɛn/,,,us,us,0,4
year,has_us_only_but_conflict,/ˈjɪɹ/,,/ˈjɪɹ/,uk,uk,6,1
time,has_us_only_but_conflict,/ˈtaɪm/,,/ˈtaɪm/,uk,uk,6,1
one,has_us_only_but_conflict,/ˈwʌn/,,/ˈwʌn/,uk,uk,12,1
up,has_us_only_but_conflict,/ˈʌp/,,/ˈʌp/,uk,uk,15,1
will,has_uk_only_but_conflict,/ˈwɪl/,/wɪɫ/,,us,us,3,2
her,no_safe_variant,/ˈhɜː/,,,us,us,0,2
if,no_safe_variant,/ˈɪf/,,,us,us,0,2
get,has_uk_only_but_conflict,/ˈɡɛt/,/ɡɛt/,,us,us,4,2
can,no_safe_variant,/kæn/,,,uk|us,uk|us,18,2
their,has_us_only_but_conflict,/ˈðɛɹ/,,/ˈðɛɹ/,uk,uk,6,1
what,has_uk_only_but_conflict,/ˈwɒt/,/wɔt/,,us,us,6,2
as,no_safe_variant,/æz/,,,us,us,0,2
or,no_safe_variant,/ˈɔː/,,,us,us,0,2
not,has_us_only_but_conflict,/ˈnɑt/,,/ˈnɑt/,uk,uk,8,1
from,has_us_only_but_conflict,/ˈfɹʌm/,,/ˈfɹʌm/,uk,uk,2,1
his,has_uk_only_but_conflict,/ˈhɪz/,/hɪz/,,us,us,2,2
this,no_safe_variant,/ˈðɪs/,,,us,us,0,2
on,has_uk_only_but_conflict,/ˈɒn/,/ɔn/,,us,us,6,2
with,no_safe_variant,/ˈwɪð/,,,us,us,0,4
for,has_uk_only_but_conflict,/ˈfɔː/,/fɔː/,,us,us,3,3
that,no_safe_variant,/ðæt/,,,us,us,0,2
it,has_uk_only_but_conflict,/ˈɪt/,/ɪt/,,us,uk|us,12,2
to,has_uk_only_but_conflict,/ˈtuː/,/tʰʊw/,,us,us,4,3
in,no_safe_variant,/ˈɪn/,,,us,us,0,2
of,has_us_only_but_conflict,/ˈʌv/,,/ˈʌv/,uk,uk,2,1
and,has_uk_only_but_conflict,/ænd/,/ˈand/,,us,uk|us,16,2
the,no_safe_variant,/ˈðə/,,,us,us,0,3
aa,no_safe_variant,/ɔː/,,,uk,uk,2,0
ab,no_safe_variant,/æb/,,,us,us,0,2
accepting,no_safe_variant,/ɐksˈɛptɪŋ/,,,us,us,0,2
accessed,has_us_only_but_conflict,/ˈækˌsɛst/,,/ˈækˌsɛst/,uk,uk,2,1
accessing,has_us_only_but_conflict,/ˈækˌsɛsɪŋ/,,/ˈækˌsɛsɪŋ/,uk,uk,2,1
activists,no_safe_variant,/ˈæktɪvɪsts/,,,us,us,0,2
activities,no_safe_variant,/aktˈɪvɪtɪz/,,,uk|us,uk|us,2,2
acts,no_safe_variant,/ˈakts/,,,us,us,0,2
addresses,has_uk_only_but_conflict,/əˈdresɪz/,/əˈdɹɛsɪz/,,us,us,2,2
adipose,has_us_only_but_conflict,/ˈædəˌpoʊs/,,/ˈædəˌpoʊs/,uk,uk,4,1
adjure,no_safe_variant,/ɐdʒjˈʊə/,,,uk,uk,2,0
admissions,no_safe_variant,/ədˈmɪʃnz/,,,us,us,0,2
adults,has_uk_only_but_conflict,/ˈadʌlts/,/ˈædʌlts/,,us,us,2,2
advances,no_safe_variant,/ɐdvˈansɪz/,,,us,us,0,2
advised,no_safe_variant,/ɐdvˈaɪzd/,,,us,us,0,2
affiliates,no_safe_variant,/əˈfɪlɪeɪts/,,,us,us,0,2
africa,no_safe_variant,/ˈæfrɪkə/,,,us,us,0,3
ag,no_safe_variant,/æg/,,,us,us,0,2
ages,no_safe_variant,/ˈeɪdʒɪz/,,,us,us,0,2
agriculturally,no_safe_variant,/ˌaɡɹɪkˈʌltʃəɹəlɪ/,,,us,us,0,2
ai,no_safe_variant,/ˌeɪˈaɪ/,,,us,us,0,2
aka,no_safe_variant,/ˈakɐ/,,,us,us,0,2
ala,no_safe_variant,/ɐlˈa/,,,us,us,0,2
alexander,has_uk_only_but_conflict,/ˌæləɡzˈændɚ/,/ˌalɪɡˈzɑːndə/,,us,us,1,2
alfred,no_safe_variant,/ˈælfrɪd/,,,us,us,0,2
alice,no_safe_variant,/ˈælɪs/,,,us,us,0,2
